DATE,ROOMS_BEFORE,ROOMS_AFTER,ROOMS_SAVED
2025-12-15,184,165,19
2025-12-16,126,108,18
2025-12-17,210,179,31
2025-12-18,184,160,24
2025-12-19,225,192,33
2025-12-20,5,5,0
2025-12-22,272,247,25
2025-12-23,255,232,23
2025-12-24,278,244,34
2025-12-25,183,152,31
2025-12-26,247,214,33
2025-12-27,95,89,6
2025-12-28,70,66,4
2025-12-29,146,125,21
2025-12-30,204,184,20
2025-12-31,185,165,20
2026-01-02,213,175,38
2026-01-03,144,121,23
2026-01-04,166,125,41
