DATE_ONLY,TIME,CAMPUS,TARGET ROOM,ROOM EXAM CAPACITY,TOTAL_STUDENTS,COURSES MERGED,UTILIZATION
2025-12-15,09g30,CS2,H2-306,82,81,"IM1029(15), GE3017(14), CI3245(13), IU3017(13), MA3031(13), CH3399(8), CI2043(3), EN3025(2)",0.9878048780487805
2025-12-15,13g00,CS1,B4-505,63,63,IM1021(63),1.0
2025-12-15,13g00,CS1,B4-406,57,57,IM1021(57),1.0
2025-12-15,13g00,CS1,C6-102,50,50,"IM1021(26), CH3347(20), ME4137(4)",1.0
2025-12-15,13g00,CS1,C6-103,50,50,"CH2035(34), CI4161(16)",1.0
2025-12-15,13g00,CS1,B1-208,44,27,"CI4161(14), ME4137(13)",0.6136363636363636
2025-12-15,13g00,CS2,H2-201,82,82,IM1021(82),1.0
2025-12-15,13g00,CS2,H2-206,82,82,IM1021(82),1.0
2025-12-15,13g00,CS2,H2-301,82,82,IM1021(82),1.0
2025-12-15,13g00,CS2,H2-306,82,82,IM1021(82),1.0
2025-12-15,13g00,CS2,H2-401,82,82,IM1021(82),1.0
2025-12-15,13g00,CS2,H2-406,82,82,IM1021(82),1.0
2025-12-15,13g00,CS2,H6-811,79,79,CI3243(79),1.0
2025-12-15,13g00,CS2,H6-308,76,76,"IM1021(70), CH3347(6)",1.0
2025-12-15,13g00,CS2,H3-406,75,75,"CH3347(34), ME4137(31), TR2033(10)",1.0
2025-12-15,13g00,CS2,H3-501,75,75,"CH2035(56), CH3347(19)",1.0
2025-12-15,13g00,CS2,H3-506,75,75,"IM1017(65), CH3347(10)",1.0
2025-12-15,13g00,CS2,H3-401,75,7,"CI3243(4), TR2033(3)",0.09333333333333334
2025-12-15,15g30,CS1,B4-505,63,54,CO3011(54),0.8571428571428571
2025-12-15,15g30,CS2,H2-201,82,82,CO3011(82),1.0
2025-12-15,15g30,CS2,H2-406,82,37,CO3011(37),0.45121951219512196
2025-12-16,07g00,CS1,B4-505,63,63,MT2007(63),1.0
2025-12-16,07g00,CS1,B4-406,57,57,MT2007(57),1.0
2025-12-16,07g00,CS1,C6-102,50,50,ME2113(50),1.0
2025-12-16,07g00,CS1,C6-103,50,50,MT2007(50),1.0
2025-12-16,07g00,CS1,B1-208,44,44,CO3007(44),1.0
2025-12-16,07g00,CS1,B1-306,44,44,"MT2007(39), ME2113(5)",1.0
2025-12-16,07g00,CS1,C4-502,42,42,"CI2135(22), ME2113(20)",1.0
2025-12-16,07g00,CS1,C5-303,42,42,"TR5005(18), CO3007(14), ME5003(10)",1.0
