DATE_ONLY,TIME,CAMPUS,ROOM ID,ROOM EXAM CAPACITY,COURSE ID,ALLOCATED STUDENTS
2025-12-15,07g00,CS1,B1-208,44,MT2013,44
2025-12-15,07g00,CS1,B1-212,38,CO3057,38
2025-12-15,07g00,CS1,B1-213,38,CO3057,2
2025-12-15,07g00,CS1,B1-213,38,IM3055,16
2025-12-15,07g00,CS1,B1-213,38,MT2013,20
2025-12-15,07g00,CS1,B1-305,38,MT2009,38
2025-12-15,07g00,CS1,B1-306,44,MT2013,44
2025-12-15,07g00,CS1,B1-308,38,EE3093,24
2025-12-15,07g00,CS1,B1-308,38,MT2009,14
2025-12-15,07g00,CS1,B1-311,42,MT2013,42
2025-12-15,07g00,CS1,B10-203,37,CO3057,13
2025-12-15,07g00,CS1,B10-203,37,MT2009,8
2025-12-15,07g00,CS1,B4-305,42,MT2013,42
2025-12-15,07g00,CS1,B4-306,42,MT2013,42
2025-12-15,07g00,CS1,B4-406,57,MT2013,57
2025-12-15,07g00,CS1,B4-501,42,MT2013,42
2025-12-15,07g00,CS1,B4-502,42,MT2013,42
2025-12-15,07g00,CS1,B4-505,63,MT2013,63
2025-12-15,07g00,CS1,B6-306,42,MT2013,42
2025-12-15,07g00,CS1,C4-301,42,MT2009,42
2025-12-15,07g00,CS1,C4-304,42,EE3093,42
2025-12-15,07g00,CS1,C4-402,42,MT2013,42
2025-12-15,07g00,CS1,C4-403,42,MT2013,42
2025-12-15,07g00,CS1,C4-502,42,MT2013,42
2025-12-15,07g00,CS1,C5-303,42,MT2013,42
2025-12-15,07g00,CS1,C5-401,42,MT2013,42
2025-12-15,07g00,CS1,C5-403,42,MT2013,42
2025-12-15,07g00,CS1,C5-502,42,MT2013,42
2025-12-15,07g00,CS1,C5-503,42,MT2013,42
2025-12-15,07g00,CS1,C6-102,50,MT2013,50
2025-12-15,07g00,CS1,C6-103,50,MT2013,50
2025-12-15,07g00,CS1,C6-401,42,MT2009,42
2025-12-15,07g00,CS1,C6-402,42,MT2013,42
2025-12-15,07g00,CS1,C6-403,42,MT2009,42
2025-12-15,07g00,CS2,H1-101,73,MT2013,73
2025-12-15,07g00,CS2,H1-104,73,MT2013,73
2025-12-15,07g00,CS2,H1-204,68,MT2013,68
2025-12-15,07g00,CS2,H1-307,71,MT2013,71
2025-12-15,07g00,CS2,H1-401,66,MT2013,66
2025-12-15,07g00,CS2,H1-404,66,MT2013,66
2025-12-15,07g00,CS2,H1-405,63,MT2013,63
2025-12-15,07g00,CS2,H2-201,82,MT2013,82
2025-12-15,07g00,CS2,H2-202,62,MT2013,62
2025-12-15,07g00,CS2,H2-205,62,CO3057,62
2025-12-15,07g00,CS2,H2-206,82,MT2013,82
2025-12-15,07g00,CS2,H2-207,71,MT2013,71
2025-12-15,07g00,CS2,H2-301,82,MT2013,82
2025-12-15,07g00,CS2,H2-302,62,CI4197,41
2025-12-15,07g00,CS2,H2-302,62,MT2013,21
2025-12-15,07g00,CS2,H2-306,82,MT2013,82
2025-12-15,07g00,CS2,H2-307,62,EE3063,8
2025-12-15,07g00,CS2,H2-307,62,EE3093,54
2025-12-15,07g00,CS2,H2-401,82,MT2013,82
