COURSE ID,ROOM ID,DATE,TIME,CAMPUS,STUDENTS,CAPACITY,KEY,EXAM CAPACITY
EE5013,B4-504,16/12/25,07g00,1,11,60,16/12/2025_07g00_1,32
ME2113,B4-505,16/12/25,07g00,1,47,120,16/12/2025_07g00_1,63
ME2113,B6-304,16/12/25,07g00,1,30,60,16/12/2025_07g00_1,32
ME5003,B4-502,16/12/25,07g00,1,14,80,16/12/2025_07g00_1,42
MT2007,B4-301,16/12/25,07g00,1,30,60,16/12/2025_07g00_1,32
MT2007,B4-302,16/12/25,07g00,1,30,60,16/12/2025_07g00_1,32
MT2007,B4-303,16/12/25,07g00,1,30,60,16/12/2025_07g00_1,32
MT2007,B4-305,16/12/25,07g00,1,30,80,16/12/2025_07g00_1,42
MT2007,B4-306,16/12/25,07g00,1,40,80,16/12/2025_07g00_1,42
MT2007,B4-402,16/12/25,07g00,1,21,60,16/12/2025_07g00_1,32
MT2007,B4-403,16/12/25,07g00,1,28,60,16/12/2025_07g00_1,32
TR5005,B4-401,16/12/25,07g00,1,18,60,16/12/2025_07g00_1,32
CO3059,B4-402,16/12/25,09g30,1,20,60,16/12/2025_09g30_1,32
LA2017,B4-403,16/12/25,09g30,1,26,60,16/12/2025_09g30_1,32
LA2017,B4-405,16/12/25,09g30,1,30,60,16/12/2025_09g30_1,32
LA2017,B4-406,16/12/25,09g30,1,41,108,16/12/2025_09g30_1,57
MT1005,B4-301,16/12/25,09g30,1,19,60,16/12/2025_09g30_1,32
MT1005,B4-302,16/12/25,09g30,1,29,60,16/12/2025_09g30_1,32
MT1005,B4-303,16/12/25,09g30,1,29,60,16/12/2025_09g30_1,32
MT1005,B4-305,16/12/25,09g30,1,30,80,16/12/2025_09g30_1,42
MT1005,B4-306,16/12/25,09g30,1,32,80,16/12/2025_09g30_1,42
CO3017,B1-305,16/12/25,13g00,1,28,72,16/12/2025_13g00_1,38
CO3017,B1-306,16/12/25,13g00,1,44,84,16/12/2025_13g00_1,44
SP1033,B1-308,16/12/25,13g00,1,21,72,16/12/2025_13g00_1,38
SP1033,B1-309,16/12/25,13g00,1,20,56,16/12/2025_13g00_1,30
SP1033,B1-311,16/12/25,13g00,1,28,80,16/12/2025_13g00_1,42
SP1033,B4-301,16/12/25,13g00,1,30,60,16/12/2025_13g00_1,32
SP1033,B4-302,16/12/25,13g00,1,30,60,16/12/2025_13g00_1,32
SP1033,B4-303,16/12/25,13g00,1,30,60,16/12/2025_13g00_1,32
SP1033,B4-305,16/12/25,13g00,1,41,80,16/12/2025_13g00_1,42
SP1033,B4-306,16/12/25,13g00,1,30,80,16/12/2025_13g00_1,42
SP1033,B4-401,16/12/25,13g00,1,30,60,16/12/2025_13g00_1,32
SP1033,B4-402,16/12/25,13g00,1,30,60,16/12/2025_13g00_1,32
SP1033,B4-403,16/12/25,13g00,1,29,60,16/12/2025_13g00_1,32
SP1033,B4-405,16/12/25,13g00,1,30,60,16/12/2025_13g00_1,32
SP1033,B4-406,16/12/25,13g00,1,44,108,16/12/2025_13g00_1,57
SP1033,B4-501,16/12/25,13g00,1,38,80,16/12/2025_13g00_1,42
SP1033,B4-502,16/12/25,13g00,1,34,80,16/12/2025_13g00_1,42
SP1033,B4-504,16/12/25,13g00,1,29,60,16/12/2025_13g00_1,32
CH3015,B4-301,16/12/25,15g30,1,26,60,16/12/2025_15g30_1,32
CH3015,B4-302,16/12/25,15g30,1,22,60,16/12/2025_15g30_1,32
EE3009,B4-303,16/12/25,15g30,1,6,60,16/12/2025_15g30_1,32
ME4217,B4-403,16/12/25,15g30,1,28,60,16/12/2025_15g30_1,32
ME4217,B4-405,16/12/25,15g30,1,30,60,16/12/2025_15g30_1,32
ME4217,B4-406,16/12/25,15g30,1,45,108,16/12/2025_15g30_1,57
TR4085,B4-305,16/12/25,15g30,1,42,80,16/12/2025_15g30_1,42
CO3037,B4-405,17/12/25,07g00,1,30,60,17/12/2025_07g00_1,32
CO3037,B4-406,17/12/25,07g00,1,40,108,17/12/2025_07g00_1,57
EE3043,B1-210,17/12/25,07g00,1,15,48,17/12/2025_07g00_1,25
EE3069,B4-403,17/12/25,07g00,1,30,60,17/12/2025_07g00_1,32
EE3091,B4-303,17/12/25,07g00,1,29,60,17/12/2025_07g00_1,32
EE3091,B4-305,17/12/25,07g00,1,36,80,17/12/2025_07g00_1,42
EE3091,B4-306,17/12/25,07g00,1,36,80,17/12/2025_07g00_1,42
EE4451,B4-504,17/12/25,07g00,1,18,60,17/12/2025_07g00_1,32
EN3209,C4-302,17/12/25,07g00,1,14,50,17/12/2025_07g00_1,26
IM4019,B1-211,17/12/25,07g00,1,15,32,17/12/2025_07g00_1,17
MA2015,B4-502,17/12/25,07g00,1,21,80,17/12/2025_07g00_1,42
MA4141,C4-303,17/12/25,07g00,1,11,50,17/12/2025_07g00_1,26
MA4189,C4-401,17/12/25,07g00,1,5,50,17/12/2025_07g00_1,26
ME5005,B1-310,17/12/25,07g00,1,14,32,17/12/2025_07g00_1,17
PH2005,B6-301,17/12/25,07g00,1,22,50,17/12/2025_07g00_1,26
PH2005,B6-302,17/12/25,07g00,1,31,60,17/12/2025_07g00_1,32
